Name,Lower,Upper,Duration,Aborted,RefineCluster,CompileCluster,Binary,Solver,Width,Gap,Objective
14,             -9.223372036854776e+18,             6205.0,             2.419,            false,             false,            false,            false,            TD,            100,            1.000,            -1.0
10,             695.0,             695.0,             0.000,            false,             false,            false,            false,            TD,            100,            0.000,            695.0
4,             2.0,             2.0,             0.000,            false,             false,            false,            false,            TD,            100,            0.000,            2.0
2,             54.0,             54.0,             0.000,            false,             false,            false,            false,            TD,            100,            0.000,            54.0
11,             -9.223372036854776e+18,             2200.0,             0.820,            false,             false,            false,            false,            TD,            100,            1.000,            -1.0
3,             46.0,             46.0,             0.000,            false,             false,            false,            false,            TD,            100,            0.000,            46.0
8,             168.0,             168.0,             0.001,            false,             false,            false,            false,            TD,            100,            0.000,            168.0
7,             255.0,             255.0,             0.001,            false,             false,            false,            false,            TD,            100,            0.000,            255.0
12,             -9.223372036854776e+18,             3178.0,             0.575,            false,             false,            false,            false,            TD,            100,            1.000,            -1.0
1,             13.0,             13.0,             0.000,            false,             false,            false,            false,            TD,            100,            0.000,            13.0
9,             120.0,             120.0,             0.000,            false,             false,            false,            false,            TD,            100,            0.000,            120.0
13,             -9.223372036854776e+18,             3874.0,             2.700,            false,             false,            false,            false,            TD,            100,            1.000,            -1.0
5,             78.0,             78.0,             0.000,            false,             false,            false,            false,            TD,            100,            0.000,            78.0
6,             52.0,             52.0,             0.000,            false,             false,            false,            false,            TD,            100,            0.000,            52.0
14,             -9.223372036854776e+18,             0.0,             3.341,            false,             false,            true,            false,            TD,            100,            1.000,            -1.0
10,             695.0,             695.0,             0.000,            false,             false,            true,            false,            TD,            100,            0.000,            695.0
4,             2.0,             2.0,             0.000,            false,             false,            true,            false,            TD,            100,            0.000,            2.0
2,             54.0,             54.0,             0.000,            false,             false,            true,            false,            TD,            100,            0.000,            54.0
11,             -9.223372036854776e+18,             0.0,             1.226,            false,             false,            true,            false,            TD,            100,            1.000,            -1.0
3,             46.0,             46.0,             0.000,            false,             false,            true,            false,            TD,            100,            0.000,            46.0
8,             168.0,             168.0,             0.001,            false,             false,            true,            false,            TD,            100,            0.000,            168.0
7,             255.0,             255.0,             0.001,            false,             false,            true,            false,            TD,            100,            0.000,            255.0
12,             -9.223372036854776e+18,             0.0,             0.878,            false,             false,            true,            false,            TD,            100,            1.000,            -1.0
1,             13.0,             13.0,             0.000,            false,             false,            true,            false,            TD,            100,            0.000,            13.0
9,             120.0,             120.0,             0.000,            false,             false,            true,            false,            TD,            100,            0.000,            120.0
13,             -9.223372036854776e+18,             0.0,             3.251,            false,             false,            true,            false,            TD,            100,            1.000,            -1.0
5,             78.0,             78.0,             0.000,            false,             false,            true,            false,            TD,            100,            0.000,            78.0
6,             52.0,             52.0,             0.000,            false,             false,            true,            false,            TD,            100,            0.000,            52.0
14,             1250005.0,             1250005.0,             12.533,            false,             false,            false,            false,            BB,            0,            0.000,            1250005.0
10,             695.0,             695.0,             0.001,            false,             false,            false,            false,            BB,            0,            0.000,            695.0
4,             2.0,             2.0,             0.000,            false,             false,            false,            false,            BB,            0,            0.000,            2.0
2,             54.0,             54.0,             0.000,            false,             false,            false,            false,            BB,            0,            0.000,            54.0
11,             125002.0,             125002.0,             1.699,            false,             false,            false,            false,            BB,            0,            0.000,            125002.0
3,             46.0,             46.0,             0.000,            false,             false,            false,            false,            BB,            0,            0.000,            46.0
8,             168.0,             168.0,             0.001,            false,             false,            false,            false,            BB,            0,            0.000,            168.0
7,             255.0,             255.0,             0.001,            false,             false,            false,            false,            BB,            0,            0.000,            255.0
12,             120013.0,             120013.0,             1.044,            false,             false,            false,            false,            BB,            0,            0.000,            120013.0
1,             13.0,             13.0,             0.000,            false,             false,            false,            false,            BB,            0,            0.000,            13.0
9,             120.0,             120.0,             0.000,            false,             false,            false,            false,            BB,            0,            0.000,            120.0
13,             750008.0,             750008.0,             12.783,            false,             false,            false,            false,            BB,            0,            0.000,            750008.0
5,             78.0,             78.0,             0.000,            false,             false,            false,            false,            BB,            0,            0.000,            78.0
6,             52.0,             52.0,             0.000,            false,             false,            false,            false,            BB,            0,            0.000,            52.0
