Name,Lower,Upper,Duration,Aborted,RefineCluster,CompileCluster,Binary,Solver,Width,Gap,Objective
frb15-9-1,             -9.223372036854776e+18,             341866.0,             0.033,            false,             false,            false,            false,            TD,            50,            1.000,            0.0
debug,             24.0,             24.0,             0.000,            false,             false,            false,            false,            TD,            50,            0.000,            2.0
frb25-13-5,             -9.223372036854776e+18,             3425888.0,             0.184,            false,             false,            false,            false,            TD,            50,            1.000,            0.0
frb10-6-2,             -9.223372036854776e+18,             38230.0,             0.008,            false,             false,            false,            false,            TD,            50,            1.000,            0.0
pass,             54.0,             54.0,             0.000,            false,             false,            false,            false,            TD,            50,            0.000,            1.0
frb15-9-3,             -9.223372036854776e+18,             339563.0,             0.059,            false,             false,            true,            false,            TD,            50,            1.000,            0.0
frb20-11-5,             -9.223372036854776e+18,             1238016.0,             0.145,            false,             false,            true,            false,            TD,            50,            1.000,            0.0
frb25-13-4,             -9.223372036854776e+18,             3402760.0,             0.299,            false,             false,            true,            false,            TD,            50,            1.000,            0.0
frb15-9-2,             -9.223372036854776e+18,             342012.0,             0.060,            false,             false,            true,            false,            TD,            50,            1.000,            0.0
tautology,             7.0,             7.0,             0.000,            false,             false,            true,            false,            TD,            50,            0.000,            0.0
unit,             6.0,             6.0,             0.000,            false,             false,            true,            false,            TD,            50,            0.000,            0.0
frb25-13-1,             -9.223372036854776e+18,             3455572.0,             0.301,            false,             false,            true,            false,            TD,            50,            1.000,            0.0
frb20-11-2,             -9.223372036854776e+18,             1232049.0,             0.145,            false,             false,            true,            false,            TD,            50,            1.000,            0.0
debug2,             13.0,             13.0,             0.000,            false,             false,            true,            false,            TD,            50,            0.000,            0.0
frb25-13-2,             -9.223372036854776e+18,             3461764.0,             0.311,            false,             false,            true,            false,            TD,            50,            1.000,            0.0
frb10-6-3,             -9.223372036854776e+18,             36703.0,             0.015,            false,             false,            true,            false,            TD,            50,            1.000,            0.0
frb20-11-3,             -9.223372036854776e+18,             1240668.0,             0.148,            false,             false,            true,            false,            TD,            50,            1.000,            0.0
frb10-6-4,             -9.223372036854776e+18,             38966.0,             0.015,            false,             false,            true,            false,            TD,            50,            1.000,            0.0
frb25-13-3,             -9.223372036854776e+18,             3481980.0,             0.295,            false,             false,            true,            false,            TD,            50,            1.000,            0.0
frb20-11-4,             -9.223372036854776e+18,             1231831.0,             0.148,            false,             false,            true,            false,            TD,            50,            1.000,            0.0
frb15-9-4,             -9.223372036854776e+18,             340656.0,             0.061,            false,             false,            true,            false,            TD,            50,            1.000,            0.0
frb20-11-1,             -9.223372036854776e+18,             1245305.0,             0.150,            false,             false,            true,            false,            TD,            50,            1.000,            0.0
frb15-9-5,             -9.223372036854776e+18,             348406.0,             0.063,            false,             false,            true,            false,            TD,            50,            1.000,            0.0
negative_wt,             4258.0,             4258.0,             0.000,            false,             false,            true,            false,            TD,            50,            0.000,            -2842.0
frb10-6-1,             -9.223372036854776e+18,             37069.0,             0.018,            false,             false,            true,            false,            TD,            50,            1.000,            0.0
frb15-9-1,             -9.223372036854776e+18,             341882.0,             0.059,            false,             false,            true,            false,            TD,            50,            1.000,            0.0
debug,             24.0,             24.0,             0.000,            false,             false,            true,            false,            TD,            50,            0.000,            2.0
frb25-13-5,             -9.223372036854776e+18,             3425907.0,             0.299,            false,             false,            true,            false,            TD,            50,            1.000,            0.0
frb10-6-2,             -9.223372036854776e+18,             38229.0,             0.016,            false,             false,            true,            false,            TD,            50,            1.000,            0.0
pass,             54.0,             54.0,             0.000,            false,             false,            true,            false,            TD,            50,            0.000,            1.0
frb15-9-3,             339467.0,             339516.0,             30.009,            true,             false,            false,            false,            BB,            0,            0.000,            124.0
frb20-11-5,             1237833.0,             1237984.0,             30.004,            true,             false,            false,            false,            BB,            0,            0.000,            208.0
frb25-13-4,             3402475.0,             3402475.0,             1.853,            false,             false,            false,            false,            BB,            0,            0.000,            312.0
frb15-9-2,             341913.0,             341913.0,             0.127,            false,             false,            false,            false,            BB,            0,            0.000,            126.0
tautology,             7.0,             7.0,             0.000,            false,             false,            false,            false,            BB,            0,            0.000,            0.0
unit,             6.0,             6.0,             0.000,            false,             false,            false,            false,            BB,            0,            0.000,            0.0
frb25-13-1,             3455286.0,             3455286.0,             2.011,            false,             false,            false,            false,            BB,            0,            0.000,            313.0
frb20-11-2,             1231866.0,             1232016.0,             30.003,            true,             false,            false,            false,            BB,            0,            0.000,            208.0
debug2,             13.0,             13.0,             0.000,            false,             false,            false,            false,            BB,            0,            0.000,            0.0
frb25-13-2,             3461480.0,             3461727.0,             30.002,            true,             false,            false,            false,            BB,            0,            0.000,            313.0
frb10-6-3,             36671.0,             36671.0,             3.283,            false,             false,            false,            false,            BB,            0,            0.000,            50.0
frb20-11-3,             1240483.0,             1240483.0,             0.562,            false,             false,            false,            false,            BB,            0,            0.000,            210.0
frb10-6-4,             38928.0,             38928.0,             3.643,            false,             false,            false,            false,            BB,            0,            0.000,            50.0
frb25-13-3,             3481691.0,             3481691.0,             1.931,            false,             false,            false,            false,            BB,            0,            0.000,            314.0
frb20-11-4,             1231646.0,             1231800.0,             30.003,            true,             false,            false,            false,            BB,            0,            0.000,            207.0
frb15-9-4,             340555.0,             340601.0,             30.010,            true,             false,            false,            false,            BB,            0,            0.000,            124.0
frb20-11-1,             1245127.0,             1245278.0,             30.004,            true,             false,            false,            false,            BB,            0,            0.000,            207.0
frb15-9-5,             348307.0,             348307.0,             0.131,            false,             false,            false,            false,            BB,            0,            0.000,            124.0
negative_wt,             4258.0,             4258.0,             0.000,            false,             false,            false,            false,            BB,            0,            0.000,            -2842.0
frb10-6-1,             37037.0,             37037.0,             4.109,            false,             false,            false,            false,            BB,            0,            0.000,            50.0
frb15-9-1,             341780.0,             341822.0,             30.010,            true,             false,            false,            false,            BB,            0,            0.000,            123.0
debug,             24.0,             24.0,             0.000,            false,             false,            false,            false,            BB,            0,            0.000,            2.0
frb25-13-5,             3425620.0,             3425620.0,             1.857,            false,             false,            false,            false,            BB,            0,            0.000,            313.0
frb10-6-2,             38196.0,             38196.0,             5.240,            false,             false,            false,            false,            BB,            0,            0.000,            50.0
pass,             54.0,             54.0,             0.000,            false,             false,            false,            false,            BB,            0,            0.000,            1.0
