Name,Lower,Upper,Duration,Aborted,RefineCluster,CompileCluster,Dominance,MergeQuality,Binary,Solver,Width,Gap,Objective
Cl5,             240.0,             240.0,             0.000,            false,             false,            true,            -,            0.0,            false,            TD,            100,            0.000,            1100.0
S11,             4389.0,             4389.0,             0.012,            false,             false,            true,            -,            0.0,            false,            TD,            100,            0.000,            6933.5
S9H,             3176.0,             3176.0,             0.002,            false,             false,            true,            -,            0.0,            false,            TD,            100,            0.000,            4695.5
Cl20,             -9.223372036854776e+18,             9950.0,             1028.195,            false,             false,            true,            -,            35.505,            false,            TD,            100,            1.000,            -1.0
Cl15,             -9.223372036854776e+18,             10220.0,             171.493,            false,             false,            true,            -,            14.855,            false,            TD,            100,            1.000,            -1.0
Cl6,             540.0,             540.0,             0.000,            false,             false,            true,            -,            0.0,            false,            TD,            100,            0.000,            1990.0
P15,             -9.223372036854776e+18,             1358.0,             172.496,            false,             false,            true,            -,            2.251,            false,            TD,            100,            1.000,            -1.0
P17,             -9.223372036854776e+18,             1008.0,             442.241,            false,             false,            true,            -,            3.169,            false,            TD,            100,            1.000,            -1.0
Cl7,             2110.0,             2110.0,             0.000,            false,             false,            true,            -,            0.0,            false,            TD,            100,            0.000,            4730.0
P18,             -9.223372036854776e+18,             1047.0,             625.438,            false,             false,            true,            -,            3.585,            false,            TD,            100,            1.000,            -1.0
H20,             -9.223372036854776e+18,             1263.0,             1009.907,            false,             false,            true,            -,            5.567,            false,            TD,            100,            1.000,            -1.0
Cl8,             2920.0,             2920.0,             0.001,            false,             false,            true,            -,            0.0,            false,            TD,            100,            0.000,            6295.0
Cl12,             15080.0,             15080.0,             0.027,            false,             false,            true,            -,            0.0,            false,            TD,            100,            0.000,            23365.0
S8,             433.0,             433.0,             0.001,            false,             false,            true,            -,            0.0,            false,            TD,            100,            0.000,            801.0
S9,             1432.0,             1432.0,             0.002,            false,             false,            true,            -,            0.0,            false,            TD,            100,            0.000,            2469.5
S8H,             1480.0,             1480.0,             0.001,            false,             false,            true,            -,            0.0,            false,            TD,            100,            0.000,            2324.5
S10,             1633.0,             1633.0,             0.005,            false,             false,            true,            -,            0.0,            false,            TD,            100,            0.000,            2781.5
Cl5,             240.0,             240.0,             0.000,            false,             false,            false,            -,            0.0,            false,            BB,            0,            0.000,            1100.0
S11,             4389.0,             4389.0,             0.058,            false,             false,            false,            -,            0.0,            false,            BB,            0,            0.000,            6933.5
S9H,             3176.0,             3176.0,             0.013,            false,             false,            false,            -,            0.0,            false,            BB,            0,            0.000,            4695.5
Cl20,             93530.0,             80980.0,             120.292,            true,             false,            false,            -,            0.0,            false,            BB,            0,            0.134,            119710.0
Cl15,             31330.0,             31330.0,             1.613,            false,             false,            false,            -,            0.0,            false,            BB,            0,            0.000,            44600.0
Cl6,             540.0,             540.0,             0.000,            false,             false,            false,            -,            0.0,            false,            BB,            0,            0.000,            1990.0
P15,             4362.0,             4362.0,             1.893,            false,             false,            false,            -,            0.0,            false,            BB,            0,            0.000,            6305.0
P17,             6719.0,             6719.0,             10.483,            false,             false,            false,            -,            0.0,            false,            BB,            0,            0.000,            9254.0
Cl7,             2110.0,             2110.0,             0.001,            false,             false,            false,            -,            0.0,            false,            BB,            0,            0.000,            4730.0
P18,             7903.0,             7903.0,             25.751,            false,             false,            false,            -,            0.0,            false,            BB,            0,            0.000,            10650.5
H20,             12006.0,             10493.0,             120.210,            true,             false,            false,            -,            0.0,            false,            BB,            0,            0.126,            15549.0
Cl8,             2920.0,             2920.0,             0.003,            false,             false,            false,            -,            0.0,            false,            BB,            0,            0.000,            6295.0
Cl12,             15080.0,             15080.0,             0.138,            false,             false,            false,            -,            0.0,            false,            BB,            0,            0.000,            23365.0
S8,             433.0,             433.0,             0.003,            false,             false,            false,            -,            0.0,            false,            BB,            0,            0.000,            801.0
S9,             1432.0,             1432.0,             0.007,            false,             false,            false,            -,            0.0,            false,            BB,            0,            0.000,            2469.5
S8H,             1480.0,             1480.0,             0.003,            false,             false,            false,            -,            0.0,            false,            BB,            0,            0.000,            2324.5
S10,             1633.0,             1633.0,             0.013,            false,             false,            false,            -,            0.0,            false,            BB,            0,            0.000,            2781.5
